Name,Naics Code Description,Address,City,County,State,Zip Code,"Excess Food Estimate, Low (tons per year)"
"550 Barneveld, LLC",Caterers,550 Barneveld Ave,San Francisco,San Francisco,CA,94124,3.74
"599 Railroad Catering, Inc.",Caterers,599 Railroad Ave,South San Francisco,San Mateo,CA,94080,1.44
5-B's Catering LLC,Caterers,190 W Lincoln Hwy,Waterman,DeKalb,IL,60556,1.10
"5d Barbecue & Catering, LLC",Caterers,1800 FM 237,Yorktown,DeWitt,TX,78164,1.44
5p Catering LLC,Caterers,3048 189th St,Lansing,Cook,IL,60438,1.44
5spice Catering LLC,Caterers,400 S Financial Pl,Chicago,Cook,IL,60605,1.69
5th Avenue Party Hall,Caterers,693 5th Ave,Brooklyn,Kings,NY,11215,9.43
5th East LLC,Caterers,545 E 330 S,American Fork,Utah,UT,84003,0.59
6 Gear Cheesesteak Facktory Food Truck L.L.c,Mobile Food Services,205 Television Cir Ste B,Savannah,Chatham,GA,31406,0.38
624 Kitchen & Catering,Caterers,1115 S Lewis Ave Ste A,Tulsa,Tulsa,OK,74104,5.89
63 Sovereign,Caterers,63 W Granada Blvd,Ormond Beach,Volusia,FL,32174,7.87
"681 North, Inc.",Caterers,681 W North Ave,Elmhurst,DuPage,IL,60126,5.52
"684turk, LLC",Caterers,6749 Imperial Woods Rd,Jupiter,Palm Beach,FL,33458,0.88
"7 Bees Catering, LLC",Caterers,2106 E Frierson Ave,Tampa,Hillsborough,FL,33610,5.72
