prepared_predicted,prediction_level,per_month,Naics_orig,State_orig,excess_low_lbs_orig,excess_high_lbs_orig,Name,Naics,Address,City,County,State,zip
13922,In-Range,1160,Full-Service Restaurants,KS,4541,23744,Billa S Italian,Full-Service Restaurants,24 N 130th St,Bonner Springs,Wyandotte,KS,66012
13922,In-Range,1160,Full-Service Restaurants,KS,4524,27136,Bill's Bbq,Full-Service Restaurants,2110 S Santa Fe Ave,Chanute,Neosho,KS,66720
13922,In-Range,1160,Full-Service Restaurants,KS,8552,33920,Bill's Diner,Full-Service Restaurants,2134 N Kansas Ave,Topeka,Shawnee,KS,66608
13922,In-Range,1160,Full-Service Restaurants,KS,9207,47488,Billy Bob's Bbq LLC,Full-Service Restaurants,20 Commercial St,Emporia,Lyon,KS,66801
13922,In-Range,1160,Full-Service Restaurants,KS,2879,23744,Billy Sims Barbecue,Full-Service Restaurants,2113 N Summit St,Arkansas City,Cowley,KS,67005
13922,In-Range,1160,Full-Service Restaurants,KS,7419,37312,Billy Sims Barbecue,Full-Service Restaurants,513 S Andover Rd,Andover,Butler,KS,67002
13922,In-Range,1160,Full-Service Restaurants,KS,149040,183168,Billy's Mexican Grill & Q,Full-Service Restaurants,2050 N Kansas Ave,Liberal,Seward,KS,67901
60617,High,5051,Limited-Service Restaurants,KS,2494,3000,Bionic Burger No 2,Limited-Service Restaurants,3912 N Manchester St,Maize,Sedgwick,KS,67101
60617,High,5051,Limited-Service Restaurants,KS,25481,42000,Bionic Burger No 2,Limited-Service Restaurants,6121 E 21st St N,Wichita,Sedgwick,KS,67208
60617,High,5051,Limited-Service Restaurants,KS,2494,3000,Bionic Burger No 2,Limited-Service Restaurants,660 N Ridge Rd Ste 101,Wichita,Sedgwick,KS,67212
13922,In-Range,1160,Full-Service Restaurants,KS,27713,61056,Bird Dog Bar,Full-Service Restaurants,1200 Oread Ave,Lawrence,Douglas,KS,66044
13922,In-Range,1160,Full-Service Restaurants,KS,201480,247616,Bird Running Inc,Full-Service Restaurants,417 Meadowlark Dr,Minneapolis,Ottawa,KS,67467
13922,In-Range,1160,Full-Service Restaurants,KS,13200,50880,Bisteca Inc.,Full-Service Restaurants,501 Lilac Dr,Liberal,Seward,KS,67901
13922,In-Range,1160,Full-Service Restaurants,KS,3035,16960,Bistro 913 LLC,Full-Service Restaurants,7706 Shawnee Mission Pkwy,Overland Park,Johnson,KS,66202
13922,In-Range,1160,Full-Service Restaurants,KS,5153,27136,Bistro Cafe & Bar,Full-Service Restaurants,12601 W 95th St,Lenexa,Johnson,KS,66215
13922,In-Range,1160,Full-Service Restaurants,KS,18577,33920,Bistro On Wheels LLC,Full-Service Restaurants,21040 S Cedar Niles Rd,Spring Hill,Johnson,KS,66083
13922,In-Range,1160,Full-Service Restaurants,KS,21197,47488,Bite Toffee,Full-Service Restaurants,2407 SW Prairie Rd,Topeka,Shawnee,KS,66614
13922,In-Range,1160,Full-Service Restaurants,KS,9900,30528,BJ's Bbq LLC,Full-Service Restaurants,17004 142nd St,Winchester,Jefferson,KS,66097
13922,In-Range,1160,Full-Service Restaurants,KS,160080,196736,BJ's Restaurants Inc.,Full-Service Restaurants,7960 E Kellogg Dr,Wichita,Sedgwick,KS,67207
13922,In-Range,1160,Full-Service Restaurants,KS,19320,23744,Bjy Umi Inc.,Full-Service Restaurants,900 Hayes Dr Ste E,Manhattan,Riley,KS,66502
60617,High,5051,Limited-Service Restaurants,KS,16970,42000,Bkzk Corporation,Limited-Service Restaurants,5511 W 147th Ter,Overland Park,Johnson,KS,66223
13922,In-Range,1160,Full-Service Restaurants,KS,13626,30528,Black Dog Barbque LLC,Full-Service Restaurants,5920 Ne Shaffer Rd,Topeka,Shawnee,KS,66617
13922,In-Range,1160,Full-Service Restaurants,KS,13626,30528,Black Tie Barbeque & Catering LLC,Full-Service Restaurants,5920 Ne Shaffer Rd,Topeka,Shawnee,KS,66617
60617,High,5051,Limited-Service Restaurants,KS,3167,24000,Blaze Pizza,Limited-Service Restaurants,11983 S Blackbob Rd,Olathe,Johnson,KS,66062
13922,In-Range,1160,Full-Service Restaurants,KS,10712,27136,Blow N Smoke Bbq LLC,Full-Service Restaurants,704 Turner Rd,Pittsburg,Crawford,KS,66762
60617,In-Range,5051,Limited-Service Restaurants,KS,299280,474755,Blue Beacon International Inc,Limited-Service Restaurants,500 Graves Blvd,Salina,Saline,KS,67401
13922,High,1160,Full-Service Restaurants,KS,2879,2879,Blue Collar Bbq LLC,Full-Service Restaurants,730 Maine St,Lawrence,Douglas,KS,66044
13922,In-Range,1160,Full-Service Restaurants,KS,3167,27136,Blue Crab Bistro,Full-Service Restaurants,604 Cherokee St,Leavenworth,Leavenworth,KS,66048
13922,In-Range,1160,Full-Service Restaurants,KS,13856,30528,Blue Line Tacos LLC,Full-Service Restaurants,1339 Engel Rd,Lawrence,Douglas,KS,66044
13922,In-Range,1160,Full-Service Restaurants,KS,5122,30528,Blue Planet Cafe LLC,Full-Service Restaurants,1259 SW Jewell Ave,Topeka,Shawnee,KS,66604
13922,High,1160,Full-Service Restaurants,KS,2138,2138,Blue Ribbon Diner,Full-Service Restaurants,115 W 7th St,Horton,Brown,KS,66439
13922,In-Range,1160,Full-Service Restaurants,KS,13626,30528,Blue Smoke Bbq LLC,Full-Service Restaurants,4400 NW 86th St,Topeka,Shawnee,KS,66618
13922,In-Range,1160,Full-Service Restaurants,KS,7720,27000,Bl'ues Family Dining,Full-Service Restaurants,923 Main St,Winfield,Cowley,KS,67156
13922,In-Range,1160,Full-Service Restaurants,KS,37154,37154,Bo Ling's Chinese Restaurant Inc,Full-Service Restaurants,8973 Metcalf Ave,Overland Park,Johnson,KS,66212
13922,High,1160,Full-Service Restaurants,KS,4359,4359,Bo Ling's Restaurant DBA,Full-Service Restaurants,7105 W 135th St,Overland Park,Johnson,KS,66223
13922,In-Range,1160,Full-Service Restaurants,KS,20951,44096,Bob & Luigi's,Full-Service Restaurants,325 W Central Ave,Andover,Butler,KS,67002
13922,In-Range,1160,Full-Service Restaurants,KS,35880,44096,Bob Evans Restaurants LLC,Full-Service Restaurants,9102 Metcalf Ave Unit 409,Overland Park,Johnson,KS,66212
