Name,Naics,Address,City,County,State,zip,excess_low_lbs,excess_high_lbs,UniqueID,prepared
Glaze Marketing L.L.C.,Limited-Service Restaurants,14524 Horton St,Overland Park,Johnson,KS,66223,5591,24000,RFS316721,0
Glory Days Pizza,Limited-Service Restaurants,1033 SW Gage Blvd Ste 100,Topeka,Shawnee,KS,66604,11196,45000,RFS289554,0
Glory Days Pizza Hunters Ridge Inc.,Limited-Service Restaurants,214 SW 6th Ave,Topeka,Shawnee,KS,66603,2879,21000,RFS344383,0
Glory Days Pizza Lake Shawnee,Limited-Service Restaurants,3310 SE 29th St,Topeka,Shawnee,KS,66605,24225,51000,RFS374577,0
Gmrg Acq 1 LLC,Limited-Service Restaurants,125 Harvest Dr,Louisburg,Miami,KS,66053,72326,87000,RFS305670,0
Gmrg Acq 1 LLC,Limited-Service Restaurants,22390 S Harrison St,Spring Hill,Johnson,KS,66083,72326,87000,RFS347850,0
Gmri Inc.,Full-Service Restaurants,15090 W 119th St,Olathe,Johnson,KS,66062,358800,440960,RFS81222,0
Gmri Inc.,Full-Service Restaurants,1718 N Rock Rd,Derby,Sedgwick,KS,67037,16512,67840,RFS94749,0
Gnf Inc.,Limited-Service Restaurants,2418 SW Queens Way,Topeka,Shawnee,KS,66614,21197,42000,RFS353110,0
Go Chicken Go Inc.,Limited-Service Restaurants,3702 Merriam Dr,Shawnee,Johnson,KS,66203,32422,309303,RFS381265,0
Goddard Dairy Queen,Limited-Service Restaurants,3820 N Maize Rd,Maize,Sedgwick,KS,67101,15935,30000,RFS383000,0
Godfather's Pizza,Limited-Service Restaurants,1720 N Summit St,Arkansas City,Cowley,KS,67005,14277,30000,RFS328204,0
Godfather's Pizza Inc,Limited-Service Restaurants,721 Wakarusa Dr Ste 104,Lawrence,Douglas,KS,66049,76980,76980,RFS426724,0
Golden Asian Buffet Inc,Full-Service Restaurants,2942 W 3rd Ave,El Dorado,Butler,KS,67042,6703,23744,RFS151797,0
Golden Corral,Full-Service Restaurants,616 S Ridge Rd,Wichita,Sedgwick,KS,67209,1965,3392,RFS232281,0
Golden Corral,Full-Service Restaurants,10147 Flint St,Overland Park,Johnson,KS,66214,20132,200128,RFS32127,0
Golden Corral Corporation,Full-Service Restaurants,2950 Cr 2600,Independence,Montgomery,KS,67301,69000,84800,RFS152001,0
Golden Corral Corporation,Full-Service Restaurants,13440 S Blackbob Rd,Olathe,Johnson,KS,66062,193200,237440,RFS68467,0
Golden Dragon,Full-Service Restaurants,1101 S Kansas Ave,Topeka,Shawnee,KS,66612,21197,47488,RFS43002,0
Golden Garden Restaurant,Full-Service Restaurants,544 N Andover Rd,Andover,Butler,KS,67002,57960,71232,RFS218965,0
Golden Gate Private Equity Inc.,Full-Service Restaurants,10700 Parallel Pkwy,Kansas City,Wyandotte,KS,66109,22080,27136,RFS39087,0
Golden Griddle,Full-Service Restaurants,230 W 9th St,Hays,Ellis,KS,67601,31514,74624,RFS128033,0
Golden Taipei,Full-Service Restaurants,310 N Franklin Ave,Colby,Thomas,KS,67701,3022,23744,RFS158778,0
Gomez Concessions Inc.,Limited-Service Restaurants,21301 W 96th Ter,Lenexa,Johnson,KS,66220,26008,42000,RFS344104,0
Gonzalez Family Restaurant Inc,Full-Service Restaurants,4111 SW Gage Center Dr,Topeka,Shawnee,KS,66604,15140,33920,RFS189014,0
Good Eats Kc LLC,Full-Service Restaurants,21311 W 96th Ter,Lenexa,Johnson,KS,66220,6769,27136,RFS119477,0
Good Grounds - Coffee & Bistro,Limited-Service Restaurants,2402 Commerce Rd,Goodland,Sherman,KS,67735,20654,20654,RFS352600,0
Goodcents Deli Fresh Subs.,Limited-Service Restaurants,2233 Louisiana St Ste J,Lawrence,Douglas,KS,66046,2879,21000,RFS347733,0
Goodcents Deli Fresh Subs.,Limited-Service Restaurants,8808 Santa Fe Dr,Overland Park,Johnson,KS,66212,6614,30000,RFS440092,0
Goodcents Kansas City,Limited-Service Restaurants,4530 W 107th St,Overland Park,Johnson,KS,66207,7556,7556,RFS395244,0
Gorditas Durango Mexican and American Grill,Full-Service Restaurants,527 W 13th St N,Wichita,Sedgwick,KS,67203,270480,332416,RFS215871,0
Gorditas Express,Full-Service Restaurants,1602 E Harry St,Wichita,Sedgwick,KS,67211,15935,33920,RFS87434,0
Gorditas To Go,Full-Service Restaurants,701 S Kansas Ave,Liberal,Seward,KS,67901,18672,44096,RFS245264,0
Gordos,Full-Service Restaurants,1116 Moro St,Manhattan,Riley,KS,66502,19271,40704,RFS45387,0
Gourmet To Go/Loft Catering,Full-Service Restaurants,102 S Skyline Dr,Salina,Saline,KS,67401,6888,37312,RFS32882,0
Grab'n'go Hot Dogs LLC,Full-Service Restaurants,1306 Drury Ln,Emporia,Lyon,KS,66801,1638,3392,RFS64887,0
