Year,Naics,State,prepared,excess_high_lbs,excess_low_lbs
2020,Limited-Service Restaurants,IA,102546,61302257,31983670
2020,Limited-Service Restaurants,ID,55197,30553843,15462218
2020,Limited-Service Restaurants,IL,433125,1019693945,137528561
2020,Limited-Service Restaurants,IN,242558,127757481,65285165
2020,Limited-Service Restaurants,KS,115495,155340632,125560696
2020,Limited-Service Restaurants,KY,179826,116021801,48433295
2020,Limited-Service Restaurants,LA,169260,93794679,50757942
2020,Limited-Service Restaurants,MA,2898740,111658997,60588217
2020,Limited-Service Restaurants,MD,2906229,123324899,68211774
2020,Limited-Service Restaurants,ME,32838,17600846,10398674
2020,Limited-Service Restaurants,MI,337131,209633634,99158214
2020,Limited-Service Restaurants,MN,163120,123854824,67336992
2020,Limited-Service Restaurants,MO,226992,125838772,73602367
2020,Limited-Service Restaurants,MS,116663,52086715,25190488
2020,Limited-Service Restaurants,MT,29252,18198863,8984717
2020,Limited-Service Restaurants,NC,399289,240036172,99422842
2020,Limited-Service Restaurants,ND,24014,17362927,7698267
2020,Limited-Service Restaurants,NE,74493,45508553,20081541
2020,Limited-Service Restaurants,NH,38225,16838526,9470438
2020,Limited-Service Restaurants,NJ,3390752,178120780,103127183
2020,Limited-Service Restaurants,NM,69697,37040193,17227169
2020,Limited-Service Restaurants,NV,123362,51044477,30389549
2020,Limited-Service Restaurants,NY,6747374,443734960,219238864
2020,Limited-Service Restaurants,OH,426686,238278559,133884713
2020,Limited-Service Restaurants,OK,163855,76915488,34090230
2020,Limited-Service Restaurants,OR,2019492,93847066,54930083
2020,Limited-Service Restaurants,PA,326282,246147491,121440108
2020,Limited-Service Restaurants,RI,476929,19343948,11134534
2020,Limited-Service Restaurants,SC,197166,91339143,45037153
2020,Limited-Service Restaurants,SD,30482,21025273,12699489
2020,Limited-Service Restaurants,TN,281289,163324404,74232365
2020,Limited-Service Restaurants,TX,1129077,623814993,332151523
2020,Limited-Service Restaurants,UT,106787,58875500,29096476
2020,Limited-Service Restaurants,VA,310188,145230389,82783748
2020,Limited-Service Restaurants,VT,174920,9242999,5438619
2020,Limited-Service Restaurants,WA,3263261,141331042,77433146
2020,Limited-Service Restaurants,WI,166525,110993606,55006410
2020,Limited-Service Restaurants,WV,63491,25949914,14071677
2020,Limited-Service Restaurants,WY,21318,7573466,4216005
2021,Caterers,AK,160,764348,298453
2021,Caterers,AL,957,5080187,2268033
2021,Caterers,AR,781,2369076,1060134
2021,Caterers,AZ,2420,11087986,4290133
2021,Caterers,CA,1683025,88978698,46515199
2021,Caterers,CO,3121,11389335,5244687
2021,Caterers,CT,220329,10472682,5134245
2021,Caterers,DE,247,1756967,632715
2021,Caterers,FL,9878,66639819,28071934
2021,Caterers,GA,4877,25295019,8775003
2021,Caterers,HI,1078,4599795,2778078
2021,Caterers,IA,799,5565514,1740769
2021,Caterers,ID,534,1465648,550027
2021,Caterers,IL,8951,28176421,14767870
2021,Caterers,IN,3867,9785798,3999187
2021,Caterers,KS,1016,3440670,1672872
2021,Caterers,KY,1875,19739785,4556551
2021,Caterers,LA,2921,18655108,7460052
2021,Caterers,MA,498277,14555882,7964528
2021,Caterers,MD,352481,15485158,7090650
2021,Caterers,ME,719,1213492,585631
2021,Caterers,MI,7271,15610805,6566685
2021,Caterers,MN,3207,10303788,4284078
2021,Caterers,MO,3682,10763513,4431143
2021,Caterers,MS,516,4026153,1918372
2021,Caterers,MT,378,1499369,629829
2021,Caterers,NC,4023,17922135,7809060
2021,Caterers,ND,165,1541410,506087
2021,Caterers,NE,944,2955462,1354155
2021,Caterers,NH,999,1988879,851516
2021,Caterers,NJ,651290,27371777,13621748
2021,Caterers,NM,407,2590668,991919
2021,Caterers,NV,957,5743028,3895677
2021,Caterers,NY,1276082,47169378,24306582
2021,Caterers,OH,7541,18088788,8714725
2021,Caterers,OK,1862,4937381,1552484
2021,Caterers,OR,131814,7264647,3465731
2021,Caterers,PA,7548,27309995,11558788
2021,Caterers,RI,88853,2288991,1074809
2021,Caterers,SC,2874,6323908,2793712
2021,Caterers,SD,189,1156214,452682
2021,Caterers,TN,2573,12730781,6248932
2021,Caterers,TX,12629,54049016,20184856
2021,Caterers,UT,1804,3916346,1860778
2021,Caterers,VA,3561,20405160,7250538
2021,Caterers,VT,34166,1039430,516972
2021,Caterers,WA,291028,9596357,4942706
2021,Caterers,WI,3257,7350705,2832271
2021,Caterers,WV,159,2471718,1304877
2021,Caterers,WY,222,364202,194408
2021,Full-Service Restaurants,AK,5145,17524658,7930288
2021,Full-Service Restaurants,AL,95128,114919066,55257916
2021,Full-Service Restaurants,AR,50655,57327297,27368723
2021,Full-Service Restaurants,AZ,130109,231204016,110959477
2021,Full-Service Restaurants,CA,3425481,1491779280,794580236
2021,Full-Service Restaurants,CO,114168,195507751,103100674
2021,Full-Service Restaurants,CT,290551,120343956,60474007
2021,Full-Service Restaurants,DE,18826,31002852,15679448
2021,Full-Service Restaurants,FL,520556,1091889938,545086763
2021,Full-Service Restaurants,GA,228055,328385069,161709183
2021,Full-Service Restaurants,HI,21485,47021028,26033493
2021,Full-Service Restaurants,IA,37979,72193464,33206640
2021,Full-Service Restaurants,ID,20233,44499435,22406502
2021,Full-Service Restaurants,IL,193065,457530753,172110037
2021,Full-Service Restaurants,IN,118705,179232020,92210621
2021,Full-Service Restaurants,KS,50621,69447305,31150086
2021,Full-Service Restaurants,KY,94524,124588267,52728895
2021,Full-Service Restaurants,LA,58406,141610876,70263704
2021,Full-Service Restaurants,MA,719490,225664512,128226200
2021,Full-Service Restaurants,MD,703736,180724719,100684668
2021,Full-Service Restaurants,ME,15215,32779303,17802552
2021,Full-Service Restaurants,MI,130275,221672537,108875859
2021,Full-Service Restaurants,MN,72370,230070334,82800974
2021,Full-Service Restaurants,MO,105547,144680428,72769743
2021,Full-Service Restaurants,MS,42008,63254949,29759780
2021,Full-Service Restaurants,MT,13127,26322278,13536977
2021,Full-Service Restaurants,NC,180192,308233980,139881415
2021,Full-Service Restaurants,ND,15784,16562681,8094718
2021,Full-Service Restaurants,NE,27576,45284162,21322996
2021,Full-Service Restaurants,NH,24162,36300358,17670294
2021,Full-Service Restaurants,NJ,803559,270200753,137190094
2021,Full-Service Restaurants,NM,36698,64272620,34369453
2021,Full-Service Restaurants,NV,62652,88667002,47630073
