Year,Naics,State,bread,dairy,dry,meat,prepared,produce,excess_high_lbs,excess_low_lbs,excess_fac_cnt
2018,Limited-Service Restaurants,TN,30688,71806,52745,43697,292946,30188,163324404,74232365,3152
2018,Limited-Service Restaurants,TX,122219,286593,212695,170235,1171353,118574,623814993,332151523,13523
2018,Limited-Service Restaurants,UT,11737,26350,22885,17294,113245,12265,58875500,29096476,1364
2018,Limited-Service Restaurants,VA,32658,83234,59404,45135,328077,32636,145230389,82783748,4036
2018,Limited-Service Restaurants,VT,1703,4909,3028,2254,357528,1797,9242999,5438619,308
2018,Limited-Service Restaurants,WA,31093,83243,65281,45432,6636127,34590,141331042,77433146,3661
2018,Limited-Service Restaurants,WI,18838,38555,34569,29092,176876,21097,110993606,55006410,2228
2018,Limited-Service Restaurants,WV,6868,16386,12970,9950,67474,7121,25949914,14071677,740
2018,Limited-Service Restaurants,WY,2372,5328,4902,3429,22866,2476,7573466,4216005,215
2019,Caterers,AK,23,35,76,59,346,48,764348,298453,36
2019,Caterers,AL,171,256,563,438,2557,356,5080187,2268033,212
2019,Caterers,AR,102,153,336,262,1529,213,2369076,1060134,95
2019,Caterers,AZ,408,610,1341,1043,6091,848,11087986,4290133,480
2019,Caterers,CA,19500,29136,64070,49824,822381,40518,88978698,46515199,2887
2019,Caterers,CO,558,833,1832,1425,8323,1159,11389335,5244687,457
2019,Caterers,CT,2506,3745,8235,6404,105705,5208,10472682,5134245,426
2019,Caterers,DE,40,60,131,102,597,83,1756967,632715,74
2019,Caterers,FL,1316,1967,4325,3363,19649,2735,66639819,28071934,2864
2019,Caterers,GA,739,1104,2429,1889,11034,1536,25295019,8775003,1110
2019,Caterers,HI,138,206,453,352,2056,286,4599795,2778078,116
2019,Caterers,IA,114,171,376,292,1707,238,5565514,1740769,155
2019,Caterers,ID,68,102,223,174,1015,141,1465648,550027,81
2019,Caterers,IL,2057,3074,6759,5256,30707,4275,28176421,14767870,861
2019,Caterers,IN,581,867,1908,1483,8666,1206,9785798,3999187,411
2019,Caterers,KS,147,219,482,375,2189,305,3440670,1672872,127
2019,Caterers,KY,289,432,951,739,4320,601,19739785,4556551,229
2019,Caterers,LA,436,652,1434,1115,6514,907,18655108,7460052,591
2019,Caterers,MA,5842,8729,19195,14927,246378,12139,14555882,7964528,454
2019,Caterers,MD,3940,5887,12945,10067,166160,8187,15485158,7090650,602
2019,Caterers,ME,109,163,358,278,1625,226,1213492,585631,59
2019,Caterers,MI,1314,1963,4316,3357,19609,2730,15610805,6566685,591
2019,Caterers,MN,575,858,1888,1468,8576,1194,10303788,4284078,327
2019,Caterers,MO,711,1062,2336,1817,10613,1477,10763513,4431143,341
2019,Caterers,MS,63,95,208,162,945,132,4026153,1918372,131
2019,Caterers,MT,49,73,160,124,727,101,1499369,629829,64
2019,Caterers,NC,624,932,2049,1593,9308,1296,17922135,7809060,651
2019,Caterers,ND,26,39,87,67,394,55,1541410,506087,54
2019,Caterers,NE,146,219,481,374,2186,304,2955462,1354155,104
2019,Caterers,NH,112,168,369,287,1678,234,1988879,851516,67
2019,Caterers,NJ,6629,9904,21779,16936,279550,13773,27371777,13621748,903
2019,Caterers,NM,72,108,238,185,1081,151,2590668,991919,111
2019,Caterers,NV,149,222,488,380,2218,309,5743028,3895677,146
2019,Caterers,NY,15331,22906,50371,39170,646539,31854,47169378,24306582,1787
2019,Caterers,OH,1183,1768,3888,3023,17662,2459,18088788,8714725,644
2019,Caterers,OK,239,356,784,610,3561,496,4937381,1552484,180
2019,Caterers,OR,1493,2231,4907,3816,62984,3103,7264647,3465731,291
2019,Caterers,PA,1288,1924,4232,3291,19226,2676,27309995,11558788,1163
2019,Caterers,RI,704,1051,2312,1798,29679,1462,2288991,1074809,77
2019,Caterers,SC,427,638,1403,1091,6373,887,6323908,2793712,271
2019,Caterers,SD,27,40,89,69,402,56,1156214,452682,40
2019,Caterers,TN,405,605,1331,1035,6048,842,12730781,6248932,432
2019,Caterers,TX,1861,2780,6114,4754,27775,3866,54049016,20184856,1791
2019,Caterers,UT,301,449,988,769,4490,625,3916346,1860778,149
2019,Caterers,VA,657,982,2158,1679,9806,1365,20405160,7250538,683
2019,Caterers,VT,333,497,1094,851,14041,692,1039430,516972,53
2019,Caterers,WA,3210,4796,10547,8202,135383,6670,9596357,4942706,369
2019,Caterers,WI,554,828,1820,1415,8269,1151,7350705,2832271,209
2019,Caterers,WV,24,36,79,62,360,50,2471718,1304877,75
2019,Caterers,WY,33,50,109,85,495,69,364202,194408,21
2019,Full-Service Restaurants,AK,446,888,1999,1609,8962,1344,17524658,7930288,536
2019,Full-Service Restaurants,AL,11013,19456,33747,31359,167957,23434,114919066,55257916,2515
2019,Full-Service Restaurants,AR,5365,9305,19951,15607,88249,12930,57327297,27368723,1473
2019,Full-Service Restaurants,AZ,13251,23177,52021,40352,227835,31061,231204016,110959477,5695
2019,Full-Service Restaurants,CA,228977,410159,967583,730406,4533502,589829,1491779280,794580236,37185
2019,Full-Service Restaurants,CO,11857,19861,46036,35643,200128,27431,195507751,103100674,5185
2019,Full-Service Restaurants,CT,21969,33443,80793,63477,385729,50329,120343956,60474007,3361
2019,Full-Service Restaurants,DE,2286,3483,6601,6403,33495,4794,31002852,15679448,678
2019,Full-Service Restaurants,FL,60138,89889,193285,176185,920630,131409,1091889938,545086763,26689
2019,Full-Service Restaurants,GA,25503,48025,82658,72420,401701,55343,328385069,161709183,8715
2019,Full-Service Restaurants,HI,1672,3031,9039,6740,37358,5578,47021028,26033493,1256
2019,Full-Service Restaurants,IA,3929,6743,14531,12271,66823,9435,72193464,33206640,1820
2019,Full-Service Restaurants,ID,2278,4092,7332,6546,35787,4879,44499435,22406502,1161
2019,Full-Service Restaurants,IL,21063,33942,81106,57275,338040,42914,457530753,172110037,8015
2019,Full-Service Restaurants,IN,14118,22130,43310,38370,209807,30256,179232020,92210621,3993
2019,Full-Service Restaurants,KS,5434,9268,20826,14876,88303,12064,69447305,31150086,1591
2019,Full-Service Restaurants,KY,10517,19166,37199,28287,165752,21218,124588267,52728895,2532
2019,Full-Service Restaurants,LA,6629,12548,20224,18567,102987,14873,141610876,70263704,3627
2019,Full-Service Restaurants,MA,51614,85106,208262,151844,956617,116129,225664512,128226200,5512
2019,Full-Service Restaurants,MD,48901,79099,192314,154330,927004,126161,180724719,100684668,4232
2019,Full-Service Restaurants,ME,1698,2651,6545,4269,26425,3611,32779303,17802552,846
2019,Full-Service Restaurants,MI,14500,22932,49288,42492,229994,32438,221672537,108875859,5045
2019,Full-Service Restaurants,MN,8287,12641,26830,24391,128116,18078,230070334,82800974,3264
2019,Full-Service Restaurants,MO,11589,19454,40138,33727,185621,26376,144680428,72769743,3440
2019,Full-Service Restaurants,MS,4758,9877,14366,13013,73983,10457,63254949,29759780,1505
2019,Full-Service Restaurants,MT,1402,2078,4785,4626,23206,3458,26322278,13536977,729
2019,Full-Service Restaurants,NC,19997,34128,69928,55388,316074,43769,308233980,139881415,6707
2019,Full-Service Restaurants,ND,1701,2525,6053,5274,27813,4027,16562681,8094718,389
2019,Full-Service Restaurants,NE,2914,5162,10506,8705,48443,6741,45284162,21322996,1064
2019,Full-Service Restaurants,NH,2659,4350,10763,6366,41791,5546,36300358,17670294,899
2019,Full-Service Restaurants,NJ,58771,91676,218551,180349,1069748,139298,270200753,137190094,7794
2019,Full-Service Restaurants,NM,3991,7081,14190,11434,64617,8447,64272620,34369453,1449
2019,Full-Service Restaurants,NV,6245,10598,24864,20034,109978,15221,88667002,47630073,2060
2019,Full-Service Restaurants,NY,86408,142012,325613,265031,1600773,210446,655536002,349778872,21625
2019,Full-Service Restaurants,OH,27069,47737,90894,72237,416851,54748,316165971,160219719,6108
2019,Full-Service Restaurants,OK,9930,13695,31666,28387,146560,21144,97897029,47456845,2436
2019,Full-Service Restaurants,OR,18351,37369,62067,51936,323197,38487,173535138,93281339,4570
2019,Full-Service Restaurants,PA,22292,35665,73754,62731,344492,48140,369538808,175983154,10298
2019,Full-Service Restaurants,RI,6218,9968,22731,17781,109994,14019,34542472,17218048,941
2019,Full-Service Restaurants,SC,11017,20995,35110,30555,171474,23124,124779354,62916254,3011
2019,Full-Service Restaurants,SD,1379,2137,4823,4113,22208,3311,16340541,7779017,434
2019,Full-Service Restaurants,TN,16650,29641,57987,47020,266572,37236,318089549,113920222,4233
2019,Full-Service Restaurants,TX,66188,103803,279185,184533,1105431,157210,1153776264,513530393,23064
2019,Full-Service Restaurants,UT,3881,7605,14567,12343,68248,9519,86530475,38043804,1978
2019,Full-Service Restaurants,VA,20374,33082,82498,58863,342512,48646,268595552,134843876,6916
2019,Full-Service Restaurants,VT,1794,2774,6065,4729,29942,3725,17667590,9395988,522
2019,Full-Service Restaurants,WA,31602,55581,115599,104101,599703,79230,221033286,116212675,5916
2019,Full-Service Restaurants,WI,7061,10691,24060,22636,116102,17236,117398429,56128875,2672
2019,Full-Service Restaurants,WV,3495,6690,11821,9195,54677,7088,52871567,17889779,908
2019,Full-Service Restaurants,WY,656,1416,2086,1778,10355,1339,15183837,7406158,360
2019,Limited-Service Restaurants,AK,1561,3920,3009,2255,18851,1695,11949592,6517993,365
2019,Limited-Service Restaurants,AL,21638,48878,35446,30238,234897,20686,68275350,36112020,1738
2019,Limited-Service Restaurants,AR,12632,28571,22246,18063,139402,12383,64188845,27523714,1228
2019,Limited-Service Restaurants,AZ,25000,64066,47554,36514,301982,25932,129204389,77116682,3547
