State	Zipcode	facility_count	Excess_Food_High_Tons	Excess_Food_Low_Tons	foodbanks	FoodBank_recd_TonYear
TX	76107	113	3179.115636	2016.100841	1	17238.504
TX	76108	39	835.948643	464.198244		
TX	76109	62	1427.806888	849.4689925		
TX	76110	40	827.849202	469.1142125		
TX	76111	38	978.715125	378.1711625		
TX	76112	40	656.032191	283.520078		
TX	76114	31	497.5192765	221.3018455		
TX	76115	31	563.6987865	294.969005		
TX	76116	84	1494.950142	750.670261		
TX	76117	32	438.684954	241.5012835		
TX	76118	15	224.270426	113.6796375		
TX	76119	25	332.806526	141.201794		
TX	76120	20	230.718688	155.6045795		
TX	76123	24	365.829698	183.9109185		
TX	76126	21	375.443817	226.9588155		
TX	76131	30	425.9780485	200.410929		
TX	76132	63	1695.678745	1112.003625		
TX	76133	46	881.684725	367.6705865		
TX	76134	21	623.732	155.3705245		
TX	76135	33	617.961359	380.1014385		
TX	76137	57	1210.51424	701.079419		
TX	76140	22	297.4274765	176.45352		
TX	76148	40	753.1278005	470.326171		
TX	76155	10	94.644	33.9849305		
TX	76164	40	975.4214715	405.5815535		
TX	76177	58	1044.372917	634.499397		
TX	76179	50	745.2263365	296.8190345		
TX	76180	63	941.9590065	569.135543		
TX	76182	35	484.948489	254.555848		
TX	76201	85	1625.538505	816.919858		
TX	76203	3	48.332	23.381028		
TX	76205	47	1803.031798	669.4511915		
TX	76207	5	83.624	35.7160815		
TX	76208	21	282.046812	117.1770755		
TX	76209	14	204.6796225	81.242425		
TX	76210	63	1116.582619	631.0032895		
TX	76225	2	18.956638	9.1568565		
TX	76226	31	489.736625	235.8195935		
TX	76227	45	700.263765	395.6836395		
TX	76228	1	15.264	4.996035		
TX	76230	7	171.361791	98.238801		
TX	76233	1	25.44	12.9931065		
TX	76234	19	327.638995	175.469072		
TX	76239	1	15.264	6.800805		
TX	76240	25	529.474259	293.548393		
TX	76244	77	1373.542025	733.5895655		
TX	76247	18	251.897906	105.417008		
TX	76248	68	1033.522262	580.156533		
TX	76249	12	149.667167	52.5480675		
TX	76250	2	86.811145	41.3033775		
TX	76252	1	6	1.5028035		
TX	76255	5	42.1979595	28.224909		
TX	76258	12	184.896074	73.8475445		
TX	76259	2	37.5	22.9699325		
TX	76262	63	948.048654	469.1021385		
TX	76265	1	13.568	6.0451545		
TX	76266	19	302.3863225	131.6501245		
TX	76270	1	16.96	7.5564555		
TX	76271	2	49.3495365	49.3495365		
TX	76272	2	22.2339705	21.2219705		
TX	76273	2	35.616	6.914094		
TX	76301	26	321.9340795	168.2120605		
TX	76302	10	186.4130985	96.227181	1	2064.338
TX	76305	6	61.056	16.590387		
TX	76306	23	269.1799285	158.2227285		
TX	76308	56	1063.599142	651.067469		
TX	76309	12	205.328	90.452505		
TX	76310	11	180.377969	114.772918		
TX	76351	2	30.852	13.6549875		
TX	76354	8	86.036	32.042043		
TX	76360	2	23.872	8.9057265		
TX	76364	1	2.9537805	2.9537805		
TX	76365	1	6	1.889382		
TX	76366	1	25.5	4.722993		
TX	76367	9	105.4086895	41.654778		
TX	76371	3	37.312	7.269141		
TX	76372	1	1.98	1.98		
TX	76374	6	76.1807485	28.6852995		
TX	76380	5	40.9284325	24.24279		
TX	76384	10	158.841155	77.338655		
TX	76389	2	25.44	9.6806655		
TX	76401	55	904.0069255	429.959786		
TX	76424	11	159.7089255	82.9144635		
TX	76426	10	148.516	65.772168		
TX	76430	3	31.435	17.106112		
TX	76431	1	11.872	1.4395095		
TX	76433	3	40.372	13.156539		
TX	76437	12	186.696525	86.9017545		
TX	76442	9	145.524	49.3577865		
TX	76443	3	17.06006	5.4521775		
TX	76444	9	71.0452235	16.8450375		
TX	76446	8	108.106281	49.134294		
TX	76448	10	142.172535	71.999796		
TX	76449	6	63.076	10.9778025		
TX	76450	21	175.5624465	102.517727		
TX	76457	8	63.778017	38.576142		
TX	76458	10	132.282489	53.997835		
TX	76460	1	18.656	3.8035965		
TX	76462	1	25.44	12.947979		
TX	76463	2	2.059299	2.059299		
TX	76470	3	40.704	20.52105		
TX	76471	1	8.48	1.3154295		
TX	76472	2	50.812	33.2014815		
TX	76476	3	30.839	11.2211055		
TX	76483	1	11.872	1.4395095		
TX	76484	1	8.48	1.318416		
TX	76486	1	1.5	0.5915085		
TX	76487	1	0.396	0.396		
TX	76501	16	239.9841235	122.653909		
TX	76502	53	1054.02034	546.432772		
TX	76504	38	996.698289	665.916862		
TX	76511	1	10.5	1.4395095		
TX	76513	58	1040.972377	585.0662485		
TX	76519	1	16.5	6.310458		
TX	76520	12	98.160195	31.176129		
TX	76522	30	436.066603	201.0430225		
TX	76527	2	10.9795765	10.6635765		
TX	76528	16	386.4412755	166.643082		
TX	76531	11	134.211625	42.543138		
TX	76537	8	52.1068125	21.2137365		
TX	76539	7	90.513	34.882056		
TX	76541	46	834.071498	467.0846265		
TX	76542	51	980.9550885	553.290933		
TX	76543	26	578.3387755	363.84968		
TX	76544	3	52.576	25.2333675		
